"(Intercept)","DOY","glacier_len_norm","noise_4kHz","runoff_racmo","site","temp_deep","temp_shallow","velocity","year","DOY:runoff_racmo","DOY:temp_deep","DOY:temp_shallow","df","logLik","AICc","delta","weight"
20.078322402691,-0.083869848625075,NA,NA,NA,NA,-31.031688088912,NA,NA,"+",NA,0.120411568689985,NA,5,-180.334195402707,370.830992431431,2.74599537522874,0.0071204492353615
15.8335470377753,-0.0928475502802752,NA,0.0650732179769834,NA,"+",-39.3804680112793,NA,NA,"+",NA,0.157117771376879,NA,8,-177.259614191523,370.912671005996,2.82767394979442,0.00683551306002053
48.0552086056736,-0.0560079407315764,NA,NA,-0.00858372548498595,"+",NA,NA,-0.0114427701688856,NA,NA,NA,NA,6,-179.35526649428,370.938793858126,2.85379680192352,0.00674681205342886
4.08904162315636,-0.0373833827200649,NA,0.0432156214657867,-0.00827730930725521,NA,NA,0.144929890627818,NA,"+",NA,NA,NA,6,-179.361725387761,370.951711645088,2.86671458888566,0.00670337553995027
3.82604196092924,-0.037318294026916,NA,0.0454383565410319,0.00297284634482141,NA,NA,NA,NA,"+",-4.86298017541346e-05,NA,NA,6,-179.375925950533,370.980112770631,2.8951157144287,0.0066088565347026
9.94949499824386,-0.0420556457162509,NA,NA,-0.0106181289885605,"+",NA,0.948725964777145,NA,"+",NA,NA,NA,7,-178.340179018848,370.985535149412,2.90053809321012,0.00659096294040315
6.92779296165022,-0.0366058598025286,0.550670245966824,NA,-0.0113897945822851,"+",2.7226412774197,NA,NA,"+",NA,NA,NA,8,-177.298516558442,370.990475739834,2.90547868363245,0.00657470140987445
3.99045924518156,-0.0373298623670049,-0.0594524446724342,0.0436614781165875,-0.00790358859726347,NA,NA,NA,NA,"+",NA,NA,NA,6,-179.39015081771,371.008562504985,2.92356544878317,0.00651551190974284
3.94843424441327,-0.037255975592706,NA,0.0438877970565517,-0.00790495577128432,NA,NA,NA,2.77136695630906e-06,"+",NA,NA,NA,6,-179.392413241218,371.013087352002,2.92809029579973,0.00650078772488127
11.9603728360388,-0.0830065988177562,0.183655603370808,0.0801120088987493,NA,NA,-34.1310906490326,NA,NA,"+",NA,0.134003470398097,NA,7,-178.372292715519,371.049762542754,2.96476548655215,0.00638266526097241
42.3693388982107,-0.0544066094401971,NA,NA,-0.0110742530832159,"+",NA,1.08649700339073,-0.00960246316032542,NA,NA,NA,NA,7,-178.373160932402,371.05149897652,2.96650192031774,0.00637712612816787
