"(Intercept)","DOY","I(DOY^2)","glacier_len_norm","ice_cover_percent","noise_4kHz","runoff_racmo","site","temp_surf","I(temp_surf^2)","velocity","year","df","logLik","AICc","delta","weight"
-62.0150738641417,0.522680652366091,-0.00105231283730155,NA,-0.266752674322136,-0.0381998818953125,NA,NA,NA,0.776018760288408,-6.23362517692006e-05,"+",8,-176.430232240307,369.174874960964,5.02974197495087,0.00531755793152905
-32.2506631597998,0.49024791756177,-0.00100392218260226,1.2904327439811,-0.286805983827083,NA,NA,"+",0.484406821494803,NA,-0.00917313427839192,NA,9,-175.435954438573,369.265781962485,5.12064897647213,0.00508126711095046
-58.9928699979784,0.49681609301981,-0.00100412270615466,0.283801644092437,-0.274837243311651,-0.0326041149870867,NA,NA,NA,NA,-4.83359611225724e-05,"+",8,-176.4768223906,369.26805526155,5.12292227553706,0.00507549477224897
-58.1422177737378,0.504037354186294,-0.00101752190957863,NA,-0.303393724495997,-0.0495518610315254,NA,"+",0.471194615033206,NA,NA,"+",9,-175.44810364339,369.290080372119,5.14494738610625,0.0050199072476037
-59.1775460511097,0.498669589590644,-0.00100818196214919,0.430443932598291,-0.27473155335817,-0.0340159432142577,NA,NA,-0.103703049319045,NA,NA,"+",8,-176.502239605008,369.318889690366,5.17375670435308,0.00494811550402779
-54.1134922330057,0.434957037239965,-0.000876436088340915,NA,-0.347574706805436,NA,NA,"+",1.02427475647897,NA,NA,NA,7,-177.541001650932,369.326012016462,5.18087903044864,0.00493052579643627
-59.6168064238102,0.50786786930227,-0.00102633218581915,NA,-0.263998398474427,-0.0431129731342387,-0.000872719164755425,NA,NA,1.03739161854977,NA,"+",8,-176.509280497982,369.332971476313,5.18783849030007,0.00491339871436488
-57.7358723651963,0.487978612812845,-0.000988139546399941,NA,-0.272974937027946,-0.0329609255237805,NA,NA,-0.0371865298867746,NA,-7.00451305344562e-05,"+",8,-176.510436466874,369.335283414097,5.1901504280836,0.00490772225983276
-57.7989436105104,0.488443010466791,-0.000988820758262316,NA,-0.273626119586966,-0.0328811786369534,-1.83438119382461e-05,NA,NA,NA,-7.45715466297516e-05,"+",8,-176.512398873551,369.339208227451,5.19407524143833,0.00489810075663821
-58.3096552180549,0.492484992464962,-0.000996571176538218,0.463345017708068,-0.275969627673404,-0.0341933509434069,-0.000321223519297581,NA,NA,NA,NA,"+",8,-176.517007424454,369.348425329258,5.20329234324458,0.00487557954490808
-62.1176775294655,0.525520629012166,-0.00105844421242217,NA,-0.267208120584164,-0.0422054076796039,NA,NA,-0.095279760703023,0.864857909917065,NA,"+",8,-176.527177652805,369.368765785958,5.22363279994539,0.00482624508419708
-23.3365378940964,0.391733757800372,-0.000824641764416235,NA,-0.32125965051142,-0.0362173008797061,NA,"+",NA,-1.66459863143165,-0.00653368135161684,NA,9,-175.498627907662,369.391128900662,5.24599591464943,0.00477258073262988
-32.0274281080711,0.471984587254352,-0.000971030093804706,NA,-0.324494651748747,-0.0446617635760156,NA,"+",0.550532874133647,NA,-0.00703850640815862,NA,9,-175.535879292083,369.465631669505,5.32049868349185,0.00459806612857214
-59.0388973046023,0.50929323611738,-0.00102952336164545,0.6379775968766,-0.287361624940945,-0.0461201180125909,NA,"+",NA,NA,NA,"+",9,-175.538344441639,369.470561968616,5.3254289826034,0.00458674516756196
-43.5615349095089,0.478573782956745,-0.000979651109779192,NA,-0.289053616614095,-0.0449278016490121,NA,"+",NA,NA,-0.00367183805250568,"+",9,-175.539123655555,369.472120396449,5.32698741043589,0.00458317250401246
-38.3894030159509,0.484272772604222,-0.000991085048735103,1.14889434348615,-0.262000633234916,NA,NA,"+",NA,NA,-0.00699027548631904,"+",9,-175.565092917732,369.524058920802,5.37892593478927,0.00446568305565648
-31.7922880975668,0.395916994708271,-0.000822921574005397,NA,-0.298999094106135,NA,NA,"+",0.415422435396288,-1.65581672059267,-0.00528225504604161,NA,9,-175.579680358646,369.553233802631,5.40810081661834,0.00440101300002297
-57.0984032406919,0.485127636798192,-0.000984006643721908,NA,-0.273473966626236,-0.036676114755539,-1.87528824277546e-05,NA,-0.176549072006388,NA,NA,"+",8,-176.62131442599,369.55703933233,5.41190634631721,0.00439264686909869
-51.8453878010804,0.453867957077338,-0.000926853433722061,NA,-0.298458815663333,-0.0433134869056794,NA,"+",NA,-0.83933144200695,NA,"+",9,-175.615181589847,369.624236265033,5.47910327902008,0.00424751247041968
-18.7774281032476,0.429688853026656,-0.000898689874060708,1.32504456195469,-0.272248610788424,NA,-0.00118656064310899,"+",NA,NA,-0.0108147042524281,NA,9,-175.646980924969,369.687834935277,5.54270194926363,0.00411456935178897
-62.7955428168564,0.49893050942912,-0.00100329588708471,0.306391239004328,-0.24432312451987,NA,NA,NA,NA,0.371939090092677,-5.6562252659246e-05,"+",8,-176.690309443097,369.695029366544,5.54989638053098,0.00409979494788091
-22.1179859995304,0.361034677287738,-0.000761861954802781,NA,-0.275944317808127,NA,-0.00328429021100172,"+",0.831045332532983,NA,-0.00688404679725888,NA,9,-175.665434983192,369.724743051723,5.57961006570974,0.00403933517245653
-60.5937775112451,0.483120333016391,-0.000974486738868618,0.312673533747989,-0.248858318673769,NA,NA,NA,-0.0336855935000269,NA,-5.65341888676151e-05,"+",8,-176.70903363112,369.73247774259,5.58734475657678,0.00402374383599727
-60.6251744903634,0.483406852710783,-0.000974862363885765,0.309827376910729,-0.249469002512083,NA,-1.90636984984798e-05,NA,NA,NA,-6.08221357226425e-05,"+",8,-176.710648729627,369.735707939603,5.59057495358985,0.00401725033856762
-55.6341429079046,0.48332495942025,-0.000981433915442035,NA,-0.285785481366592,-0.0465778745415737,-0.000208362373482697,"+",NA,NA,NA,"+",9,-175.679785988009,369.753445061356,5.60831207534324,0.00398178062452044
-61.0970016307124,0.486586954929683,-0.000980681069227134,NA,-0.241856370789522,NA,-0.000144956046830119,NA,NA,0.398087669193148,-8.29887580726628e-05,"+",8,-176.729359473888,369.773129428124,5.6279964421114,0.00394278343297375
-61.7192862646535,0.49117608235885,-0.000988956516935849,NA,-0.242707447146989,NA,NA,NA,0.00890951677439535,0.39172656235623,-8.60350232538635e-05,"+",8,-176.730045464366,369.774501409081,5.6293684230676,0.00394007964857272
-62.1990619174554,0.493832761590385,-0.000994296381204322,0.513511211012309,-0.241815971594266,NA,-0.000523030864120784,NA,NA,0.501987670446462,NA,"+",8,-176.739123214595,369.79265690954,5.64752392352676,0.00390447444173083
-63.389300752192,0.502604291704598,-0.00101042738482957,0.507331964033854,-0.243942899201186,NA,NA,NA,-0.0819598516973796,0.372523475549448,NA,"+",8,-176.739708984562,369.793828449474,5.64869546346114,0.00390218798759867
-59.8040753140759,0.47748989180653,-0.000964041667027919,NA,-0.247673677279651,NA,0.000102662084816959,NA,-0.0346733701438276,NA,-8.69618464354534e-05,"+",8,-176.75053338248,369.815477245309,5.67034425929609,0.00386017693444394
-61.259110289564,0.487308576445211,-0.000982541349962683,0.512504198089632,-0.248538896946115,NA,2.26863269486046e-05,NA,-0.117436247823263,NA,NA,"+",8,-176.758434736377,369.831279953104,5.68614696709085,0.00382979649175065
-32.97088070352,0.305658653638553,-0.000650181693247935,NA,-0.379222223308642,-0.0272370993771473,NA,"+",NA,-3.2971636464167,NA,NA,8,-176.764964082076,369.844338644501,5.69920565848747,0.00380487188573585
-32.885612277744,0.39457653650826,-0.000821664135184211,NA,-0.280117896092076,NA,NA,"+",NA,-1.5026950416662,-0.00488778528106861,"+",9,-175.741158282332,369.876189650002,5.73105666398942,0.00374475733579157
-53.5162590807549,0.434425928409539,-0.000885993206172955,0.838364689267674,-0.276115357993172,NA,NA,"+",NA,-1.49647135201677,NA,"+",9,-175.761291086843,369.916455259024,5.77132227301121,0.0036701187317091
-63.533095009235,0.505906092312106,-0.00101472335975,0.744758563645841,-0.263717065393925,NA,NA,"+",0.443804111331993,NA,NA,"+",9,-175.763048249942,369.919969585224,5.77483659921057,0.00366367539715503
-25.2448999682711,0.370412743052809,-0.000779969415724935,NA,-0.290166008655783,NA,-0.000152861993351129,"+",NA,-1.7864852871177,-0.00624416220323801,NA,9,-175.767782250286,369.929437585911,5.78430459989778,0.00364637254473486
-34.6899239893677,0.298270373581614,-0.00063346660592509,0.537385500738321,-0.360480309345679,NA,NA,"+",NA,-3.63775456491947,NA,NA,8,-176.819729601311,369.953869682971,5.80873669695825,0.00360209925368578
-46.6450684247842,0.469789359149063,-0.000955456481487381,NA,-0.265489722950588,NA,NA,"+",0.394256093999222,NA,-0.00385913287044602,"+",9,-175.789957901094,369.973788887528,5.82865590151494,0.00356640183885831
-41.165598467505,0.343754824064544,-0.00071551059652786,NA,-0.355614382878457,NA,0.00144836909575417,"+",NA,-3.34351842679445,NA,NA,8,-176.833761256296,369.981932992942,5.83680000692908,0.00355190879085007
-53.3385283956878,0.430878891042723,-0.000876481364965399,NA,-0.283204899841043,NA,NA,"+",0.422479581398532,-1.22897536120574,NA,"+",9,-175.79960990894,369.993092903218,5.84795991720546,0.00353214449237318
-51.5362950759214,0.416866886377156,-0.000851079677272791,NA,-0.259595170174175,NA,-0.00226456271207582,"+",0.675017396082952,NA,NA,"+",9,-175.817306032994,370.028485151328,5.88335216531448,0.00347018902783637
-20.525044837995,0.421458676506087,-0.000883571760975603,NA,-0.304206827913506,-0.0402516316837573,-0.000763111640400982,"+",NA,NA,-0.008644435646774,NA,9,-175.849019819289,370.091912723918,5.94677973790499,0.00336186298809331
-59.9734847400346,0.476998465751078,-0.000963730146418496,NA,-0.237281256481721,NA,-0.000484475658279111,NA,-0.116346146931071,0.503413216371431,NA,"+",8,-176.897178712006,370.108767904361,5.96363491834757,0.0033336496367175
-62.3985812291584,0.496924780805751,-0.00100744623373819,NA,NA,NA,NA,NA,NA,NA,NA,"+",4,-181.033884844975,370.15434977653,6.00921679051737,0.00325853189423717
-20.6342244669671,0.421145066940029,-0.00088401142662582,1.43044398290336,-0.324520859871297,-0.0344800020366004,NA,"+",NA,-1.9669492980575,-0.00857252631399878,NA,10,-174.87715462938,370.236765399111,6.09163241309813,0.00312698394285975
-41.2681590745162,0.439670490268916,-0.000903219199254919,NA,-0.251942799877415,NA,-0.000568284639495265,"+",NA,NA,-0.00425472202250501,"+",9,-175.942143077851,370.278159241042,6.13302625502888,0.0030629301480034
-45.3215758409011,0.370286404560503,-0.000760063095210867,NA,-0.346404110326563,NA,NA,"+",NA,NA,NA,NA,6,-179.0480384315,370.278685558652,6.13355257263851,0.00306212421701499
-60.252714767862,0.481776260749844,-0.000972681157887149,0.684714243156875,-0.250052863070645,NA,-0.000306741732507878,"+",NA,NA,NA,"+",9,-175.96809077448,370.330054634299,6.18492164828558,0.00298447641431715
-29.0405585672853,0.427580676861087,-0.00088710020843411,1.49904328159505,-0.304338382527939,NA,NA,"+",0.411496460142809,-1.98822276905239,-0.00735955199752366,NA,10,-174.92894814193,370.340352424211,6.19521943819831,0.00296914915185417
-52.841592181726,0.427188273728314,-0.000871578315580091,NA,-0.270969808959031,NA,0.00020722339880718,"+",NA,-1.22297196754381,NA,"+",9,-175.985760757301,370.365394599942,6.22026161392864,0.00293220395415281
