"(Intercept)","glacier_len_norm","ice_cover_percent","noise_4kHz","runoff_racmo","salt_shallow","I(salt_shallow^2)","site","temp_deep","I(temp_deep^2)","temp_shallow","I(temp_shallow^2)","year","ice_cover_percent:salt_shallow","ice_cover_percent:temp_deep","ice_cover_percent:temp_shallow","df","logLik","AICc","delta","weight"
25975.9575791002,0.679213764959274,0.907521684852399,0.0388279670662226,NA,-1546.27181705516,23.0056985954331,NA,7.83975580564843,-7.39939795616977,NA,-1.26312412032569,NA,NA,-2.1096243358286,NA,10,-170.718134204837,362.227635316149,19.8073275953682,6.56043176881449e-07
15238.3672609965,NA,-0.359640277199195,0.0311405080313061,0.00279464739030656,-906.587045702833,13.4807282707265,NA,NA,NA,-0.314678534194353,-1.45222059471417,NA,NA,NA,-0.0775525485999738,9,-171.796766027189,362.2386933447,19.8183856239193,6.52425913955272e-07
508.585913678747,0.604091904248502,-0.397830704948437,NA,0.00286751836510385,-26.4096157847616,0.334914009100132,NA,NA,NA,-0.168146784075881,-1.81391580176608,NA,NA,NA,-0.0326612002865174,9,-171.799017472007,362.243196234337,19.8228885135562,6.50958665346283e-07
38928.0798028236,NA,-236.133617701354,0.00912717021869401,-0.000479666338071093,-2320.44717943448,34.5783839292298,"+",NA,0.182753001832653,0.991985036503301,-0.833072164879963,NA,7.01596188627512,NA,-1.43852552082415,13,-167.461588732863,362.246813829361,19.826506108581,6.49782277176457e-07
33.0088652267487,NA,NA,NA,NA,NA,-0.0295952477766801,NA,NA,-1.61296661889689,NA,NA,NA,NA,NA,NA,3,-178.083500764246,362.251212054808,19.8309043340281,6.4835490275706e-07
-2.33867206974442,0.668129348536951,2.41172075938874,0.0261774507235041,0.00232500212841138,NA,NA,NA,-1.28111920015602,NA,0.11237106642546,-0.946445709829264,NA,NA,-4.03427307293799,1.49990718641382,10,-170.729991842145,362.251350590764,19.8310428699835,6.48309994079503e-07
66.2512150915257,NA,NA,NA,NA,-1.9837509685304,NA,NA,NA,-1.61308158663734,NA,NA,NA,NA,NA,NA,3,-178.083638107487,362.251486741289,19.8311790205088,6.4826586170854e-07
9694.81992883747,0.924478528153407,-579.402955243639,0.014140206990367,0.00151756961904923,-575.64888024614,8.54368482617979,NA,-0.778480045438504,NA,0.483778569742649,NA,NA,17.3940329809049,-8.42826846117657,-1.89799190650839,12,-168.564926586963,362.260287956535,19.8399802357549,6.45419365765254e-07
42825.1430924917,0.400483665773583,-223.250671145045,0.00433739378233717,-0.00130422876686934,-2553.90794295371,38.0754180451329,"+",NA,-0.302937840544128,1.27638358023583,NA,NA,6.6325782546499,NA,-1.40476664121259,13,-167.472136369671,362.267909102978,19.847601382198,6.42964627962772e-07
53606.0059502699,-0.494114566588007,NA,NA,NA,-3196.66854045369,47.6557177754145,"+",NA,NA,0.914816861178107,NA,NA,NA,NA,NA,7,-173.937578459851,362.273733432157,19.8534257113768,6.41094932892257e-07
